511,LTBP1
512,LTBP2
513,LY6G6C
514,LYZ
515,MAFF
516,MAML1
517,MAN2A2
518,MAN2B1
519,MAOA
520,MAP1A
521,MAP2
522,MAP2K1
523,MAP2K4
524,MAP3K14
525,MAP3K7
526,MAP3K8
527,MAP4K1
528,MAP4K4
529,MAPK10
530,MAPK12
531,MAPK14
532,MAPKAPK2
533,MAPRE1
534,MAPRE3
535,MAPT
536,MARCKS
537,MARCKSL1
538,MARK2
539,MATN2
540,MAX
541,MBD1
542,MCAM
543,MCM3
544,MCRS1
545,MDK
546,ME3
547,MED12
548,MEN1
549,MEOX2
550,MFAP4
551,MGAT1
552,MIB1
553,MKRN3
554,MLF1
555,MLLT3
556,MME
557,MMP1
558,MMP10
559,MMP11
560,MMP15
561,MMP9
562,MOBP
563,MPHOSPH9
564,MRPL28
565,MTERF
566,MTMR11
567,MTMR3
568,MTR
569,MTX2
570,MYBL2
571,MYCBP2
572,MYEF2
573,MYH2
574,MYH3
575,MYH9
576,MYL3
577,MYL6B
578,MYO1C
579,NAB2
580,NAGA
581,NANOS1
582,NBL1
583,NCAPH
584,NCBP2
585,NCK1
586,NCL
587,NCSTN
588,NDN
589,NDRG1
590,NDUFA9
591,NDUFB3
592,NEB
593,NEBL
594,NEU1
595,NF2
596,NFASC
597,NFRKB
598,NFYB
599,NGFR
600,NHLH2
601,NOL7
602,NPAS2
603,NPR2
604,NPR3
605,NPY1R
606,NR0B1
607,NR1H2
608,NR1H3
609,NR2C1
610,NR4A2
611,NR5A2
612,NRF1
613,NRG1
614,NRL
615,NTF3
616,NTHL1
617,NTNG1
618,NTRK3
619,NTSR1
620,NUDT3
621,NUDT4
622,NUSAP1
623,NUTF2
624,OASL
625,OCLN
626,ODF1
627,OLFM4
628,OLIG2
629,OMG
630,OPTN
631,OTUD4
632,OXCT1
633,P4HA1
634,P4HA2
635,PABPC4
636,PAFAH1B3
637,PAICS
638,PASK
639,PBX1
640,PBXIP1
641,PCBP2
642,PCDH17
643,PCGF2
644,PCNA
645,PCOLCE
646,PCSK1N
647,PCSK2
648,PDE1C
649,PDE9A
650,PDGFC
651,PDGFRA
652,PDHX
653,PDIA6
654,PDPK1
655,PDPN
656,PDXDC1
657,PDXK
658,PDZK1IP1
659,PER1
660,PES1
661,PEX11A
662,PEX13
663,PEX14
664,PFKFB3
665,PFKL
666,PHGDH
667,PIGA
668,PIGC
669,PIGH
670,PIGL
671,PIR
672,PKIA
673,PLA2G4A
674,PLAC8
675,PLAU
676,PLCB2
677,PLCB3
678,PLK1
679,PLK4
680,PLOD1
681,PLP1
682,PMCH
683,PMP2
684,PMVK
685,PNO1
686,POLA2
687,POLR2K
688,POP1
689,POSTN
690,POU2F1
691,POU6F1
692,PPAP2B
693,PPFIA3
694,PPID
695,PPP1R1A
696,PPP1R7
697,PPP2R1A
698,PPP2R3A
699,PPP3CB
700,PRAF2
701,PRC1
702,PRELP
703,PRF1
704,PRG4
705,PRKAA2
706,PRKAR1B
707,PRKAR2B
708,PRKCG
709,PRKCH
710,PRKD1
711,PRKDC
712,PROM1
713,PRPF31
714,PRPSAP1
715,PRRG1
716,PRSS8
717,PSAP
718,PSAT1
719,PSEN2
720,PSMC3IP
721,PSMC6
722,PSMD1
723,PSMD3
724,PSMD4
725,PSME2
726,PSME3
727,PSPH
728,PTCH1
729,PTDSS1
730,PTGDS
731,PTGER4
732,PTHLH
733,PTPN2
734,PTPRK
735,PTPRZ1
736,PUM1
737,PYGB
738,RAB22A
739,RAB3B
740,RAB40B
741,RAB8A
742,RABIF
743,RAD52
744,RAD54L
745,RAN
746,RANGAP1
747,RARA
748,RARB
749,RASA1
750,RASGRP3
751,RBBP8
752,RBCK1
753,RBL2
754,RBPMS
755,RDBP
756,RELA
757,RELB
758,RFC1
759,RFC4
760,RFTN1
761,RFX1
762,RGS11
763,RGS19
764,RHOC
765,RHOH
766,RIN2
767,RING1
768,RIT2
769,RNASE2
770,RNPS1
771,ROR2
772,RORB
773,RPL10
774,RPL36A
775,RPL8
776,RPN1
777,RPS16
778,RPS6KA5
779,RRH
780,RRP1B
781,RRP9
782,RSAD2
783,RUNX1
784,RUNX1T1
785,RUNX3
786,RUVBL2
787,SATB1
788,SCARF1
789,SCGN
790,SCHIP1
791,SCML2
792,SCN2A
793,SCNN1A
794,SDC3
795,SEC24B
796,SECISBP2
797,SELE
798,SEMA3B
799,SEMA4F
800,SEMA5A
801,SERPINA7
802,SERPINB2
803,SERPINB4
804,SERPINB8
805,SERPINE1
806,SERPINI1
807,SERTAD2
808,SETBP1
809,SETDB1
810,SF1
811,SGCB
812,SH2B2
813,SH2B3
814,SH3YL1
815,SHBG
816,SHC1
817,SHC3
818,SHMT2
819,SHOX2
820,SIRPA
821,SIVA1
822,SKAP2
823,SKI
824,SKP2
825,SLAMF1
826,SLC10A3
827,SLC13A3
828,SLC16A3
829,SLC18A3
830,SLC20A1
831,SLC22A1
832,SLC25A12
833,SLC26A2
834,SLC26A4
835,SLC27A2
836,SLC29A2
837,SLC2A5
838,SLC35A3
839,SLC3A2
840,SLC4A4
841,SLC5A1
842,SLC6A11
843,SLC6A14
844,SLC6A6
845,SLC6A8
846,SLC7A11
847,SLC8A2
848,SLC9A6
849,SMAD3
850,SMAD6
851,SMARCC1
852,SMARCD1
853,SMARCD3
854,SMARCE1
855,SMPDL3B
856,SMURF2
857,SNAP25
858,SNAPC3
859,SNCB
860,SND1
861,SNRPA1
862,SNRPB
863,SNRPG
864,SNTA1
865,SNTB2
866,SNX19
867,SNX7
868,SOCS1
869,SORBS3
870,SORT1
871,SOS1
872,SOX2
873,SOX4
874,SOX9
875,SP1
876,SPAG5
877,SPARC
878,SPARCL1
879,SPG20
880,SPI1
881,SPINK1
882,SPINT2
883,SPOP
884,SPRR2E
885,SPTAN1
886,SQSTM1
887,SRP72
888,SRPK1
889,SRPX
890,SRPX2
891,SSRP1
892,SSTR5
893,STAM
894,STAMBP
895,STARD7
896,STIM1
897,STIP1
898,STK10
899,STK3
900,STMN2
901,STRAP
902,SUPT5H
903,SUPT6H
904,SWAP70
905,SYNCRIP
906,SYNE1
907,SYNE2
908,SYP
909,SYT1
910,SYT7
911,TACC3
912,TAF4
913,TAF9
914,TAT
915,TBC1D22A
916,TBC1D8
917,TBCC
918,TCEA2
919,TCEB1
920,TCN2
921,TDO2
922,TERF1
923,TF
924,TFPI2
925,TGFBR3
926,TGFBRAP1
927,TGOLN2
928,THBS4
929,THRB
930,TJP1
931,TLN2
932,TM4SF4
933,TMEM106C
934,TMEM11
935,TMOD1
936,TNFAIP2
937,TNFRSF12A
938,TNNC1
939,TNNT1
940,TPD52
941,TPSD1
942,TRAF2
943,TRAIP
944,TRIM23
945,TRIM27
946,TRIM28
947,TRIM31
948,TRIP12
949,TRIP13
950,TRMT1
951,TROAP
952,TSC2
953,TSC22D1
954,TSPYL5
955,TTC1
956,TTK
957,TUBA4A
958,TUBG1
959,TUSC2
960,TXN2
961,TXNDC9
962,UBAP2L
963,UBE2B
964,UBE2C
965,UBE2S
966,UBE3A
967,UBE4A
968,UBL3
969,UFM1
970,UGDH
971,UGT1A10
972,UNC13B
973,UNG
974,UQCRC1
975,UQCRC2
976,USP5
977,VAC14
978,VAMP5
979,VASP
980,VAV2
981,VCAN
982,VDAC1
983,VGLL1
984,VGLL4
985,VIL1
986,VLDLR
987,VNN2
988,VPS45
989,WASF1
990,WDR67
991,WFDC1
992,WNT5A
993,WNT5B
994,WTAP
995,XCL1
996,XPC
997,XPO1
998,XRCC2
999,XRCC5
1000,YBX1
1001,YME1L1
1002,YWHAE
1003,ZADH2
1004,ZFP36L2
1005,ZFX
1006,ZIC2
1007,ZNF143
1008,ZNF192
1009,ZNF274
1010,ZNF623
1011,HLF
1012,PAX5
